case_id;date;start_of_week;start_of_month;translated_comments;sentiment;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-19380;2023-09-27;2023-09-24;2023-09-01;The phone agent refused to escalate my issue.;negative;phone;80;2;DETRACTOR;0;0;Grupo A,Grupo J;2;2;Grupo J;Fraud Report
CASE-12430;2023-08-13;2023-08-13;2023-08-01;Email support took days to reply, terrible service!;negative;chatbot;75;1;DETRACTOR;0;1;Grupo I,Grupo J,Grupo H;3;3;Grupo H;Payment Issues
CASE-10820;2025-02-20;2025-02-16;2025-02-01;The chatbot misunderstood my loan inquiry completely.;negative;chatbot;10;1;DETRACTOR;1;0;Grupo E;1;1;Grupo E;Card Issues
CASE-15019;2024-06-29;2024-06-23;2024-06-01;The email response was decent, not great.;neutral;chatbot;40;3;DETRACTOR;0;1;Grupo G,Grupo C,Grupo D;3;3;Grupo D;Loan Inquiry
CASE-11219;2024-07-20;2024-07-14;2024-07-01;The phone team was slow and didn’t care.;negative;email;4248;2;DETRACTOR;0;1;Grupo D;1;1;Grupo D;Fraud Report
CASE-14582;2022-09-22;2022-09-18;2022-09-01;The chatbot helped me with my savings goal easily.;positive;email;232;4;PROMOTER;1;0;Grupo A;1;1;Grupo A;Card Issues
CASE-19286;2023-04-21;2023-04-16;2023-04-01;Email support was fine, met my expectations.;neutral;phone;58;4;PROMOTER;0;1;Grupo B,Grupo J;2;2;Grupo J;Balance Inquiry
CASE-16961;2023-02-21;2023-02-19;2023-02-01;I’m impressed with how fast my loan application was processed.;positive;chatbot;2;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Fees Inquiry
CASE-16458;2022-08-24;2022-08-21;2022-08-01;The phone team was amazing with my inquiry.;positive;email;111;5;PROMOTER;1;1;Grupo B,Grupo I;2;2;Grupo I;Payment Issues
CASE-10109;2024-05-05;2024-05-05;2024-05-01;The phone representative was kind and fixed my issue right away.;positive;email;225;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-12889;2024-09-29;2024-09-29;2024-09-01;The chatbot couldn’t process my balance request.;negative;phone;130;1;DETRACTOR;0;0;Grupo J,Grupo E,Grupo B;3;3;Grupo B;Balance Inquiry
CASE-19122;2024-09-17;2024-09-15;2024-09-01;The staff made transferring funds so easy and stress-free.;positive;email;312;5;PROMOTER;1;1;Grupo I,Grupo J;2;2;Grupo J;Account Setup
CASE-15286;2024-10-30;2024-10-27;2024-10-01;The phone agent didn’t even try to assist me.;negative;phone;206;1;DETRACTOR;0;0;Grupo G,Grupo F,Grupo H,Grupo D,Grupo G;4;5;Grupo G;Login Problems
CASE-18646;2024-10-23;2024-10-20;2024-10-01;The email response was sloppy and unclear.;negative;phone;155;2;DETRACTOR;0;1;Grupo D,Grupo D,Grupo J,Grupo E;3;4;Grupo E;Fraud Report
CASE-18014;2022-11-03;2022-10-30;2022-11-01;The chatbot was quick to assist with my card issue.;positive;phone;9;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Payment Issues
CASE-12802;2024-09-05;2024-09-01;2024-09-01;Email support didn’t even try to fix my issue.;negative;email;3124;1;DETRACTOR;0;0;Grupo B,Grupo C,Grupo F,Grupo A;4;4;Grupo A;Loan Inquiry
CASE-18695;2023-01-22;2023-01-22;2023-01-01;The chatbot guided me through my account options easily.;positive;chatbot;4;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-15677;2022-04-17;2022-04-17;2022-04-01;Phone support was excellent, they helped me with my statement.;positive;email;191;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-12808;2023-10-13;2023-10-08;2023-10-01;The email response was rude and dismissive.;negative;phone;204;2;DETRACTOR;0;0;Grupo H,Grupo A,Grupo G,Grupo C,Grupo I;5;5;Grupo I;Fraud Report
