case_id;date;start_of_week;start_of_month;translated_comments;sentiment;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-16578;2024-12-23;2024-12-22;2024-12-01;The phone team resolved my overdraft issue professionally.;positive;chatbot;2;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Fees Inquiry
CASE-23587;2023-09-17;2023-09-17;2023-09-01;The chatbot quickly helped me reset my password.;positive;email;180;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Payment Issues
CASE-17049;2024-11-24;2024-11-24;2024-11-01;Email support didn’t even try to fix my issue.;negative;chatbot;40;2;DETRACTOR;0;1;Grupo C,Grupo F,Grupo D;3;3;Grupo D;Transaction Error
CASE-19851;2025-01-11;2025-01-05;2025-01-01;The email response was clear and solved my problem.;positive;phone;11;5;PROMOTER;1;1;Grupo G,Grupo H;2;2;Grupo H;General Inquiry
CASE-26522;2023-11-27;2023-11-26;2023-11-01;The phone agent refused to escalate my issue.;negative;email;1582;1;DETRACTOR;0;0;Grupo H,Grupo G,Grupo J;3;3;Grupo J;General Inquiry
CASE-22366;2024-06-18;2024-06-16;2024-06-01;The email response was late and irrelevant.;negative;chatbot;89;1;DETRACTOR;0;0;Grupo I,Grupo A,Grupo B,Grupo G;4;4;Grupo G;Transaction Error
CASE-16534;2024-01-12;2024-01-07;2024-01-01;The phone agent didn’t understand my issue.;negative;chatbot;83;2;DETRACTOR;0;0;Grupo G,Grupo A,Grupo H,Grupo H;3;4;Grupo H;Login Problems
CASE-26025;2022-10-02;2022-10-02;2022-10-01;The phone agent was friendly and fixed my login issue.;positive;chatbot;5;4;PROMOTER;1;0;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-17197;2025-01-20;2025-01-19;2025-01-01;The chatbot gave me accurate info about my account in seconds.;positive;phone;13;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Payment Issues
CASE-17829;2024-01-07;2024-01-07;2024-01-01;The phone agent didn’t care about my complaint.;negative;chatbot;28;1;DETRACTOR;0;0;Grupo C,Grupo I;2;2;Grupo I;Loan Inquiry
CASE-17687;2022-01-28;2022-01-23;2022-01-01;The chatbot assisted with my fees, but it was slow.;neutral;chatbot;22;3;DETRACTOR;0;1;Grupo D,Grupo F;2;2;Grupo F;Payment Issues
CASE-24729;2022-12-31;2022-12-25;2022-12-01;I waited forever on the phone, and they didn’t help.;negative;chatbot;24;2;DETRACTOR;0;1;Grupo G;1;1;Grupo G;General Inquiry
CASE-23179;2022-11-29;2022-11-27;2022-11-01;Fantastic support over the phone, my issue was fixed in minutes.;positive;email;453;5;PROMOTER;1;1;Grupo I,Grupo H,Grupo F;3;3;Grupo F;Balance Inquiry
CASE-22934;2022-05-15;2022-05-15;2022-05-01;Email support made resolving my issue so easy.;positive;chatbot;3;5;PROMOTER;1;1;Grupo H,Grupo A;2;2;Grupo A;Card Issues
CASE-19347;2024-08-20;2024-08-18;2024-08-01;The phone team was neutral, solved my issue.;neutral;phone;22;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Loan Inquiry
CASE-24432;2022-06-29;2022-06-26;2022-06-01;The email team took days to reply with nothing useful.;negative;chatbot;25;1;DETRACTOR;0;0;Grupo J,Grupo B,Grupo H;3;3;Grupo H;Login Problems
CASE-19752;2024-10-11;2024-10-06;2024-10-01;The email team responded promptly and solved my issue.;positive;phone;14;5;PROMOTER;1;1;Grupo A,Grupo E,Grupo J;3;3;Grupo J;Payment Issues
CASE-21647;2022-10-23;2022-10-23;2022-10-01;The chatbot failed to process my savings request.;negative;email;3866;2;DETRACTOR;0;1;Grupo E,Grupo F,Grupo C,Grupo A;4;4;Grupo A;Payment Issues
CASE-16040;2024-11-16;2024-11-10;2024-11-01;Email support didn’t even try to fix my issue.;negative;chatbot;30;2;DETRACTOR;0;0;Grupo I;1;1;Grupo I;Transaction Error
CASE-28005;2023-03-31;2023-03-26;2023-03-01;The chatbot failed to process my savings request.;negative;chatbot;12;1;DETRACTOR;0;0;Grupo E;1;1;Grupo E;Transaction Error
CASE-19640;2022-06-28;2022-06-26;2022-06-01;Email support was fair, did what was needed.;neutral;chatbot;36;3;DETRACTOR;0;1;Grupo J,Grupo D,Grupo J;2;3;Grupo J;Balance Inquiry
CASE-28878;2022-03-14;2022-03-13;2022-03-01;I received a detailed email response in less than an hour.;positive;email;167;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-19667;2023-03-11;2023-03-05;2023-03-01;Phone support was outstanding, they deserve praise!;positive;chatbot;5;4;PROMOTER;1;1;Grupo G,Grupo F;2;2;Grupo F;Card Issues
CASE-19432;2023-12-09;2023-12-03;2023-12-01;Email support didn’t even try to fix my issue.;negative;email;1699;1;DETRACTOR;0;0;Grupo J,Grupo F,Grupo D;3;3;Grupo D;Transaction Error
CASE-16005;2022-08-03;2022-07-31;2022-08-01;The phone agent hung up on me mid-conversation.;negative;email;1709;2;DETRACTOR;0;0;Grupo B,Grupo J;2;2;Grupo J;Fraud Report
CASE-28197;2023-06-13;2023-06-11;2023-06-01;The chatbot was quick to assist with my card issue.;positive;chatbot;4;4;PROMOTER;1;1;Grupo A,Grupo E;2;2;Grupo E;Card Issues
CASE-24044;2022-05-03;2022-05-01;2022-05-01;The chatbot was a lifesaver when I needed to block my card.;positive;email;84;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-18867;2022-09-02;2022-08-28;2022-09-01;The email response was professional and to the point.;positive;phone;13;5;PROMOTER;1;0;Grupo E;1;1;Grupo E;Card Issues
CASE-17961;2023-09-30;2023-09-24;2023-09-01;The email team sent a reply that solved nothing.;negative;phone;52;1;DETRACTOR;0;1;Grupo E;1;1;Grupo E;Transaction Error
CASE-17262;2024-08-17;2024-08-11;2024-08-01;The phone team was slow and unprofessional.;negative;chatbot;77;1;DETRACTOR;0;0;Grupo I,Grupo A,Grupo H,Grupo J;4;4;Grupo J;Transaction Error
CASE-25533;2023-01-23;2023-01-22;2023-01-01;The staff made transferring funds so easy and stress-free.;positive;email;183;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Login Problems
CASE-24609;2024-04-24;2024-04-21;2024-04-01;The email team provided a clear and quick solution.;positive;chatbot;4;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;General Inquiry
CASE-28716;2024-10-21;2024-10-20;2024-10-01;Great customer service, the phone representative was so polite!;positive;email;221;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Transaction Error
CASE-18786;2023-08-26;2023-08-20;2023-08-01;The email team provided excellent service, I’m happy!;positive;phone;7;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Account Setup
CASE-15095;2023-09-29;2023-09-24;2023-09-01;The email response was professional and to the point.;positive;chatbot;3;5;PROMOTER;1;1;Grupo E,Grupo G;2;2;Grupo G;Balance Inquiry
CASE-29591;2024-12-03;2024-12-01;2024-12-01;Email support took a week to reply, ridiculous!;negative;chatbot;25;1;DETRACTOR;0;0;Grupo D,Grupo F;2;2;Grupo F;Transaction Error
CASE-22726;2024-07-20;2024-07-14;2024-07-01;Phone support was terrible, they wasted my time.;negative;phone;33;2;DETRACTOR;0;0;Grupo D,Grupo B,Grupo I;3;3;Grupo I;Transaction Error
CASE-17603;2023-11-28;2023-11-26;2023-11-01;The chatbot gave me outdated info about my fees.;negative;email;1765;1;DETRACTOR;0;0;Grupo C,Grupo G,Grupo E;3;3;Grupo E;Fees Inquiry
CASE-18870;2023-07-06;2023-07-02;2023-07-01;The chatbot failed to process my savings request.;negative;email;2535;1;DETRACTOR;0;0;Grupo I,Grupo D,Grupo G,Grupo D,Grupo J;4;5;Grupo J;Card Issues
CASE-23752;2024-06-21;2024-06-16;2024-06-01;The phone agent explained everything in a friendly way.;positive;phone;7;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Payment Issues
CASE-20726;2024-02-10;2024-02-04;2024-02-01;The chatbot was quick to assist with my transfer request.;positive;phone;10;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-17484;2023-01-01;2023-01-01;2023-01-01;The chatbot was average with my transfer request.;neutral;email;2729;3;DETRACTOR;0;1;Grupo A,Grupo B,Grupo B;2;3;Grupo B;Card Issues
CASE-16861;2023-02-03;2023-01-29;2023-02-01;Email support was spot on, they fixed my login problem quickly.;positive;email;156;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Card Issues
CASE-24143;2024-07-30;2024-07-28;2024-07-01;The chatbot failed to process my payment request.;negative;chatbot;24;2;DETRACTOR;0;0;Grupo A,Grupo A,Grupo C;2;3;Grupo C;Loan Inquiry
CASE-20034;2022-10-02;2022-10-02;2022-10-01;The email team took too long to fix my login issue.;negative;chatbot;75;1;DETRACTOR;0;0;Grupo H,Grupo A,Grupo C,Grupo E,Grupo G;5;5;Grupo G;Transaction Error
CASE-18700;2024-04-04;2024-03-31;2024-04-01;The chatbot made checking my interest rates so simple.;positive;email;212;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Transaction Error
